Reference,Value,Datasheet,Footprint,Qty,DNP,,,
A1,Arduino_Nano_v3.x,http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf,Robocone Footprints:MODULE_ARD-NANO30,1,,,,
"C1,C10,C11,C16,C17",10nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,,,,
"C2,C4",2.2uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,,,
"C3,C7,C8,C9",100nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,,,,
"C5,C6,C12,C13,C14,C15,C18,C19,C20,C21",1nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10,,,,
"J1,J7",Wurth 691210910002,https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf,Robocone Footprints:691210910002,2,,need 1 more,,
"J2,J3,J4,J5",Wurth 691210910004,https://www.molex.com/pdm_docs/sd/022232041_sd.pdf,Robocone Footprints:691210910004,4,,,,
"R1,R2",4.7k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,,,
"R3,R4,R6,R7,R8,R9,R10,R11,R12,R13",100,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10,,,,
R5,100k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,,,
U1,ADS1234IPW,http://www.ti.com/lit/ds/symlink/ads1232.pdf,Robocone Footprints:SOP65P640X120-28N,1,,,,
U2,TSR1-2450E,https://www.tracopower.com/products/tsr1e.pdf,Converter_DCDC:Converter_DCDC_TRACO_TSR1-xxxxE_THT,1,,,,
U3,TSR1-2433E,https://www.tracopower.com/products/tsr1e.pdf,Converter_DCDC:Converter_DCDC_TRACO_TSR1-xxxxE_THT,1,,still need this,RS#666-4360,ordered mon.
